,İlaç Adı
1,fluzavir 12 mg/ml oral suspansiyon hazirlamak icin toz (75 ml)
2,fluzavir 75 mg sert kapsul (10 kapsul)
3,"colevitd3 150.000 i.u./10 ml oral damla, cozelti (10 ml)"
4,citoles 15 mg film kapli tablet (28 tablet)
5,taglin met 50 mg/850 mg film kapli tablet (60 tablet)
6,onureg 300 mg film kapli tablet (7 adet)
7,anapolon 50 mg 20 tablet
8,zovirax %5 krem (2 gr)
9,"flutel-f 27,5 mcg burun spreyi, suspansiyon"
10,"beclosp 100 mcg burun spreyi, süspansiyon (120 doz)"
11,"paxambio %0,5 jel (50 g)"
12,taglin met 50 mg/1000 mg film kapli tablet (60 tablet)
13,"lactosoft 2,5 mg yumusak kapsul"
14,jaglif 10 mg film kapli tablet (28 tablet)
15,erbinol %1 krem (30 gram)
16,oradro 500 mg film tablet (14 tablet)
17,medlazid mr 60 mg uzatilmiş salimli tablet (30 tablet)
18,"vabysmo 6 mg/0,05 ml
intravitreal enjeksiyonluk cozelti (1 adet)"
19,selpenza 200 mcg film kaplitablet (60 adet)
20,selpenza 200 mcg film kaplitablet (140 adet)
21,selpenza 400 mcg film kapli tablet (60 adet)
22,selpenza 600 mcg film kapli tablet (60 adet)
23,selpenza 800 mcg film kapli tablet (60 adet)
24,selpenza 1000 mcg film kapli tablet (60 adet)
25,selpenza 1200 mcg film kapli tablet (60 adet)
26,selpenza 1400 mcg film kapli tablet (60 adet)
27,selpenza 1600 mcg film kapli tablet (60 adet)
28,kengrexal 50 mg enjeksiyonluk / infuzyonluk cozelti hazirlamada kullanilacakkonsantre icin toz
29,"clairyg 50 mg/ml, 100 ml infuzyonluk cozelti (1 flakon)"
30,onureg 200 mg film kapli tablet (7 adet)
31,"zeposia 0,92 mg sert kapsul (28 kapsul)"
32,"flutel plus 137 mcg / 50 mcg burun spreyi, suspansiyon (120 doz) "
33,boneplus 150 mg 3 efervesan tablet
34,boneplus d3 150 mg/2800 iu 3 efervesan tablet
35,necetam 800 mg film kapli tablet (30 tablet)
36,"darzox sr 1,5 mg uzatilmis salimli tablet"
37,galara 150 mg 56 kapsul
38,pefsal 25 mcg/ 125 mcg aerosol inhaler 120 doz
39,roxipime 1 gr im/iv enjektabl toz iceren 1 flakon
40,vankomyl 1000 mg iv infuzyonluk cozelti hazirlamak icin liyofilize toz (1 flakon)
41,combisar 5/160 mg film kapli tablet (28 tablet)
42,largopen 500 mg kapsul (16 kapsul)
43,teklonin 400 mg im/iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu
44,getamisin 80 mg/2 ml im/iv ampul
45,insovef 1 mg/ml oral cozelti (150 ml)
46,deri prick test cozeltisi 902 histamin pozitif kontrol
47,deri prick test cozeltisi 901 salin negatif kontrol
48,"deri prick test cozeltisi 708, 50.000 sbu/ml"
49,rexapin pro 3 mg / 25 mg kapsul (30 kapsul)
50,rexapin pro 6 mg/25 mg kapsul (30 kapsul)
51,rexapin pro 6 mg/50 mg kapsul (30 kapsul)
52,baksil 1 g i.m./i.v. enjeksiyonluk cozelti hazirlamak icin toz (1 flakon)
53,ekzofinex %1 krem (30 g)
54,"dymista 137 mcg + 50 mcg burun spreyi, suspansiyon (23 g)"
55,aldara %5 krem
56,"allergodil %0,05 goz damlasi, cozelti (6 ml)"
57,"allergodil %0,1 burun spreyi, cozelti (10 ml) "
58,cibacen 10 mg film kapli tablet (28 tablet)
59,"cibadrex 10/12,5 mg film tablet (28 tablet)"
60,"cibadrex 5mg/6,25 mg film tablet (28 tablet)"
61,efudix %5 krem 20 g
62,elidel krem 30 gr
63,mestinon 60 mg kapli tablet (20 tablet)
64,"parlodel 2,5 mg 30 tablet"
65,rantudil 90 mg uzatilmis salimli 10 kapsul
66,rantudil forte 60 mg 20 kapsul
67,reparil-gel n %1 + %5 jel (50 g)
68,rheumon %10 100 mg 50 ml sprey
69,rheumon 40 g jel
70,rheumon im 1g/2 ml enjeksiyonluk cozelti iceren ampul
71,thermo-rheumon 100 mg/g+ 10 mg/g krem (50 g)
72,thioctacid 600 mg film kapli tablet (30 tablet)
73,tobi 300 mg/5 ml nebulizasyon icin cozelti (56 ampul)
74,galara 300 mg 56 kapsul
75,"fovepta 200 iu/0,4 ml im/sc enjeksiyonluk cozelti
iceren kullanima hazir enjektor (1 adet)"
76,solopina 100 mg film kapli tablet (40 tablet)
77,solopina 100 mg film kapli tablet (80 tablet)
78,pinades 100 mg fi̇lm kapli tablet (40 tablet)
79,pinades 100 mg fi̇lm kapli tablet (80 tablet)
80,clustek 6 grass mix/secale cereale 10.000 tu/ml enjeksiyonluk suspansiyon (1 flakon)
81,sugadra 200 mg/2 ml iv enjeksiyonluk cozelti (10 flakon)
82,"sulgen 30000 tu/ml dilalti sprey, cozelti (olea)"
83,kinomox 400 mg film kapli tablet (7 tablet)
84,rompag 25 mg film kapli tablet (28 tablet)
85,rompag 50 mg film kapli tablet (28 tablet)
86,raventris 100 mg sert kapsul (20 adet)
87,"zeposia 0,23 mg ve 0,46 mg sert kapsul tedaviye baslangic paketi (7 kapsul)"
88,aklav bid 400 mg/57 mg fort suspansiyon hazirlamak icin kuru toz (70 ml)
89,aptamil peptisyneo 400 g
90,baymela 3 mg tablet (60 tablet)
91,benvida 100 mg 56 film kapli tablet (56 tablet)
92,benvida 200 mg 56 film kapli tablet (56 tablet)
93,"cortiment mmx 9 mg uzatilmis
salimli tablet (30 tablet)"
94,hepabulin sn 2.000 iu/10 ml iv enjeksiyonluk cozelti (1 flakon)
95,imbruvica 140 mg mg film kapli tablet (30 adet)
96,imbruvica 280 mg mg film kapli tablet (30 adet)
97,imbruvica 420 mg mg film kapli tablet (30 adet)
98,imbruvica 560 mg mg film kapli tablet (30 adet)
99,"laxosifa 0,48 g/ml+0,18 g/ml oral
cozelti (45 ml)"
100,"postpill one 1,5 mg 1 tablet"
101,sprytinib 100 mg film kapli tablet (30 tablet)
102,sprytinib 50 mg film kapli tablet (30 tablet)
103,maxiclar 500 mg film kapli tablet (14 film kapli tablet)
104,"natrixam 1,5 mg/10 mg degistirilmis salimli 30 tablet"
105,"natrixam 1,5 mg/5 mg degistirilmis salimli 30 tablet"
106,rotazar plus 300mg/12.5mg film tablet (28 tablet)
107,dispari 3 gr sase
108,insovef 2 mg uzatilmis salimli tablet (30 adet)
109,ketonephro film kapli tablet (100 tablet)
110,loprofin drink lq (27 x 200 ml)
111,oprelast 10 mg+20 mg+30 mg film kapli tablet tedaviye baslama paketi (4+4+19)
112,oprelast 30 mg film kapli tablet (56 tablet)
113,pediasure fiber vanilya aromali (220 ml)
114,ronocit 1000 mg/4 ml im/iv enjeksiyonluk cozelti (5 ampul)
115,vasoxen 5 mg 28 tablet
116,"floben 0,5 mg/2 ml nebulizasyon suspansiyonu"
117,siabet 100 mg film kapli tablet (28 adet)
118,bimzelx 160 mg/ml sc enjeksiyonluk cozelti iceren kullanima hazir kalem (2 adet)
119,vitrakvi 20 mg/ml oral cozelti (50 ml x 2 sise)
120,ulsepan 40 mg enterik kapli tablet (28 tablet)
121,zomtu 4 mg/5 ml iv infuzyon icin konsantre cozelti iceren flakon
122,frenag fort jel % 3 30 gr jel
123,genkort 10 mg tablet (60 tablet)
124,zomtu 4 mg/100 ml iv infuzyon icin cozelti iceren flakon
125,pantenol %5 merhem (30 g)
126,"pantenol %5 krem, 30 g"
127,sinupret extract kapli tablet (20 tablet)
128,"pantenol plus % 5 + % 0,5 krem (30 g tüp)"
129,lizik 40 mg tablet (50 tablet)
130,ceftinex 600 mg film tablet (7 tablet)
131,"bimatocare % 0.01 goz damlasi, cozelti (2,5 ml) "
132,relixan 3 mg/25 mg sert kapsul
133,relixan 6 mg/25 mg sert kapsul
134,relixan 6 mg/50 mg sert kapsul
135,xendro 5 mg/100 ml iv infuzyon icin cozelti iceren flakon (1 flakon)
136,vitrakvi 100 mg sert kapsul (56 kapsul)
137,kineret 100 mg/ 0.67 ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (28 enjektor)
138,itraxyl 100 mg 4 mikropellet kapsul
139,cylorin 25 mg yumusak kapsul (50 kapsul)
140,cylorin 100 mg yumusak kapsul (50 kapsul)
141,claxom 50 mg iv infuzyonluk cozelti hazirlamada kullanilacak konsantre icin liyofilize toz
142,"novosef 1 g/3,5 ml im enjeksiyonluk toz ve cozucu"
143,evigen 300 mg/2 ml im enjeksiyonluk cozelti̇ (5 adet)
144,"oxygo %0,05 burun spreyi, cozelti"
145,coledan-d3 2000 iu film kapli tablet (60 tablet)
146,myesed 5 mg film kapli tablet (28 tablet)
147,"sefotak 1 g/4 ml im/iv enjeksiyonluk cozelti
hazirlamak icin toz ve cozucu"
148,"novosef 0,5 g /2 ml im enjeksiyonluk toz ve cozucu"
149,novosef 1 g/10 ml iv enjeksiyonluk toz ve cozucu
150,"amikozit 500 mg im/iv enj. coz. iceren flakon, 1 flakon"
151,amikozit 100 mg /2ml im/iv enjeksiyonluk cozelti
152,raventris 10 mg dagilabilir tablet (16 adet)
153,allergovit 151 a + b baslangic enjeksiyonluk suspansiyon (1 + 1 adet)
154,allergovit 151 b idame enjeksiyonluk suspansiyon (1 adet)
155,nexpovio 20 mg film kapli tablet (8 tablet)
156,raventris 30 mg dagilabilir tablet (30 adet)
